year	state	employee_position_clean	soc	employee_earliest_year_flag	min_state_year	statefe	stateyr	statefemale	femaleyr	socyr	statesoc	statesocyr	positionyr	stateposition	statepositionyr	socfemale	positionfemale	id	employee_salary_annual	female	employee_id	min_emp_year	log_salary_annual	policy_year	policy_month	treatment
2014	"CA"	"food service assistant"	"35-3041"	0	2010	2	11	4	21	5266	824	6086	474266	65910	242351	905	158872	7598.0	41907.8	0	2787	2014	10.744368	2018	1	0
2019	"CA"	"bg captain"	"53-5021"	0	2010	2	16	3	13	9481	1196	9349	134975	19287	71962	1659	46458	16176.0	36982.0	0	3746	2013	10.621344	2018	1	0
2015	"CA"	"classroom teacher k"	"25-2012"	0	2010	2	12	4	22	3004	624	4377	206745	30035	112279	505	70199	18733.0	64783.11	1	7518	2014	11.051572	2018	1	0
2014	"IA"	"trooperation"	"33-3051"	0	2007	7	51	13	8	5020	2721	20542	1059584	169659	653218	856	356688	15943.0	42000.4	0	7792	2014	10.645434	2019	1	0
2017	"UT"	"early chldhood teacher"	"25-2011"	1	2009	33	234	66	24	2995	12762	82615	385306	288877	1125733	503	129698	943.0	42000.4	0	7792	2014	10.645434	2019	1	0
2018	"CA"	"senior administrative analyst"	"13-1081"	0	2010	2	15	4	25	624	422	2579	873505	122844	450488	102	294113	10943.0	42000.4	0	7792	2014	10.645434	2019	1	0
2016	"TX"	"engineerring specialist"	"17-3029"	0	2014	32	222	63	10	1636	11951	77024	415006	268062	1046776	271	139603	7467.0	48119.92	0	8783	2017	10.781451	2019	1	0
2017	"UT"	"front dsk supervisor"	"43-4081"	1	2009	33	234	65	11	6290	13020	85060	480957	291662	1137641	1082	161012	12467.0	48119.92	0	8783	2017	10.781451	2019	1	0
2018	"CA"	"school psychologist"	"19-3031"	1	2010	2	15	3	12	1956	533	3573	858803	120757	443075	323	289336	22467.0	48119.92	0	8783	2017	10.781451	2019	1	0
2016	"NY"	"nurse cert"	"29-1141"	1	2011	26	185	52	23	4123	9806	64839	694097	240195	943365	705	232929	9085.0	37900.32	0	10278	2013	10.530254	2018	1	0
2018	"PA"	"custodial worker fc"	"37-2011"	0	2014	29	208	58	25	5350	11093	73419	278931	252637	992929	919	95030	18839.0	112066.0	1	10959	2014	11.636659	2017	1	0
2015	"CA"	"sewer maintenance worker"	"49-9071"	0	2010	2	12	3	9	7952	1059	8154	929207	129907	482039	1378	311453	2552.0	56778.8	0	12123	2014	10.9469185	2019	1	0
2017	"CA"	"teacher aide ed"	"25-2011"	1	2010	2	14	4	24	2995	623	4370	1018790	143479	533046	503	342116	7552.0	56778.8	0	12123	2014	10.9469185	2019	1	0
